county,median_household_income,population
Alameda,92574,1671329
Alpine,64688,1129
Amador,61198,39752
Butte,48443,219186
Calaveras,58151,45905
Colusa,56704,21547
Contra Costa,93712,1153526
Del Norte,45258,27812
El Dorado,80582,192843
Fresno,51261,999101
Glenn,47395,28393
Humboldt,45528,135558
Imperial,45834,181215
Inyo,52874,18039
Kern,52479,900202
Kings,53865,152940
Lake,42475,64386
Lassen,56362,30573
Los Angeles,64251,10039107
Madera,52884,157327
Marin,110217,258826
Mariposa,51199,17203
Mendocino,49233,86749
Merced,50129,277680
Modoc,45149,8841
Mono,63018,14444
Monterey,66676,434061
Napa,84753,137744
Nevada,63240,99755
Orange,85398,3175692
Placer,84357,398329
Plumas,53270,18807
Riverside,63948,2470546
Sacramento,63902,1552058
San Benito,81977,62808
San Bernardino,60164,2180085
San Diego,74855,3338330
San Francisco,104552,881549
San Joaquin,61145,762148
San Luis Obispo,70699,283111
San Mateo,113776,766573
Santa Barbara,71657,446499
Santa Clara,116178,1927852
Santa Cruz,78041,273213
Shasta,50905,180080
Sierra,48125,3005
Siskiyou,44200,43539
Solano,77609,447643
Sonoma,76753,494336
Stanislaus,57387,550660
Sutter,56955,96971
Tehama,42899,65084
Trinity,38497,12285
Tulare,47518,466195
Tuolumne,56493,54478
Ventura,84017,846006
Yolo,65923,220500
Yuba,52624,78668